Bmr019-c4_0000363_0001383,okay | we're on .,o_k | we're on .,s^bk|s^t,s^bk|s^t
Bmr019-c1_3292160_3292440,yeah .,yeah .,s^bk,s^bk
Bmr019-ca_3293330_3299070,but uh i - i will try to recommend uh at uh - the spanish government .,but eh i - i will try to recommend eh at eh - the spanish government .,s,s
Bmr019-ca_3299070_3305030,but uh the following @@ scholarship uh uh - uh will be here more time .,but eh the following @@ scholarship eh eh - eh will be here more time .,s,s
Bmr019-ca_3305030_3311000,because uh i- - in my opinion is - is better uh for us to - to spend more time here .,because eh i- - in my opinion is - is better eh for us to - to spend more time here .,s^df,s^df
Bmr019-ca_3311670_3315240,and to work more time i- - i- - in a topic .,and to work more time i- - i- - in a topic .,s^df^e,s^df^e
Bmr019-ca_3315240_3315390,no ?,no ?,qy^d^f^g,qy^d^f^g
Bmr019-c1_3315590_3316630,yeah | it's a very short time .,yeah | it's a very short time .,s^aa|s^na,s^aa|s^na
Bmr019-ca_3315830_3316200,but uh ==,but uh ==,fh,fh
Bmr019-c1_3316630_3316720,yeah .,yeah .,s^bk,s^bk
Bmr019-c4_3316630_3317740,yeah | six months is hard .,yeah | six months is hard .,s^aa|s^na,s^aa|s^na
Bmr019-c1_3316720_3316910,yeah .,yeah .,s^bk,s^bk
Bmr019-ca_3316870_3317510,yeah | it is .,yeah | it is .,s^aa|s^na,s^aa|s^na
Bmr019-c4_3317740_3320240,i think a year is a lot better .,i think a year is a lot better .,s^cs,s^cs
Bmr019-ca_3318140_3318470,yeah .,yeah .,b,b
Bmr019-c1_3318730_3319060,yeah .,yeah .,s^aa,s^aa
Bmr019-ca_3319150_3319730,it's difficult .,it's difficult .,s,s
Bmr019-ca_3320250_3322340,you - e- - you have uh you are lucky .,you - e- - you have eh you are lucky .,s,s
Bmr019-ca_3322810_3328260,and you - you find a solution in - in - in some few tim- - uh months | uh ?,and you - you find a solution in - in - in some few tim- - uh months | eh ?,s|qy^d^f^g,s|qy^d^f^g
Bmr019-ca_3328630_3329050,okay .,o_k .,s^bk,s^bk
Bmr019-ca_3329050_3331430,but uh i think it's not uh common .,but eh i think it's not eh common .,s,s
Bmr019-ca_3331920_3333800,but uh anyway thank you .,but eh anyway thank you .,s^ft,s^ft
Bmr019-ca_3333800_3334840,thank you very much .,thank you very much .,s^e^ft,s^e^ft
Bmr019-ca_3334840_3342980,uh i - i bring the chocolate uh to - to tear uh with - with you .,eh i - i bring the chocolate eh to - to tear uh with - with you .,s^rt,s^rt
Bmr019-c5_3339770_3340410,huh .,mmm .,b,b
Bmr019-c2_3340100_3340930,uh .,ah .,s^bk.%,s^bk.%
Bmr019-c0_3340160_3340750,oh .,oh .,s^bk,s^bk
Bmr019-c2_3340930_3341340,nice .,nice .,s^ba,s^ba
Bmr019-ca_3343190_3344020,uh .,uh .,fh,fh
Bmr019-ca_3344770_3352880,i - i hope if you need uh something uh from us in the future i - i will be at spain to you help .,i - i hope if you need eh something eh from us in the future i - i will be at spain to you help .,s,s
Bmr019-ca_3353050_3353550,uh ==,uh ==,fh,fh
Bmr019-c4_3354070_3354340,great .,great .,s^ba,s^ba
Bmr019-c1_3354230_3354500,well ==,well ==,%-,%-
Bmr019-c2_3354720_3355070,great .,great .,s^ba,s^ba
Bmr019-c1_3355130_3355790,thank you jose .,thank you jose .,s^ft,s^ft
Bmr019-c2_3355260_3355730,thank you .,thank you .,s^ft,s^ft
Bmr019-c0_3355290_3355650,right .,right .,s^bk,s^bk
Bmr019-ca_3355290_3356980,and thank you very much .,and thank you very much .,s^ft,s^ft
Bmr019-c5_3357410_3357980,have a good trip .,have a good trip .,s,s
Bmr019-c1_3358370_3358650,yeah .,yeah .,s^aa,s^aa
Bmr019-ca_3358830_3359230,thank you .,thank you .,s^ft,s^ft
Bmr019-c2_3358910_3359050,yeah .,yeah .,b,b
Bmr019-c5_3359090_3359640,keep in touch .,keep in touch .,s^co,s^co
Bmr019-c1_3360380_3360570,yeah .,yeah .,b.%,b.%
Bmr019-c1_3362300_3362730,okay .,o_k .,fg,fg
Bmr019-c1_3362730_3366760,i guess uh - unless somebody has something else we'll read - read our digits .,i guess uh - unless somebody has something else we'll read - read our digits .,s^ft,s^ft
Bmr019-c4_3364700_3365240,digits ?,digits ?,qy^cs^d^rt,qy^cs^d^rt
Bmr019-c1_3366860_3367500,and we'll get our ==,and we'll get our ==,s.%-,s.%-
Bmr019-c3_3367090_3367280,uh ==,uh ==,%-,%-
Bmr019-c4_3367160_3368810,are we going to do them simultaneously ?,are we gonna do them Bdb001.dadb Bdb001.out Bdb001.trans Bed002.dadb Bed002.out Bed002.trans Bed003.dadb Bed003.out Bed003.trans Bed004.dadb Bed004.out Bed004.trans Bed005.dadb Bed005.out Bed005.trans Bed006.dadb Bed006.out Bed006.trans Bed008.dadb Bed008.out Bed008.trans Bed009.dadb Bed009.out Bed009.trans Bed010.dadb Bed010.out Bed010.trans Bed011.dadb Bed011.out Bed011.trans Bed012.dadb Bed012.out Bed012.trans Bed013.dadb Bed013.out Bed013.trans Bed014.dadb Bed014.out Bed014.trans Bed015.dadb Bed015.out Bed015.trans Bed016.dadb Bed016.out Bed016.trans Bed017.dadb Bed017.out Bed017.trans Bmr001.dadb Bmr001.out Bmr001.trans Bmr002.dadb Bmr002.out Bmr002.trans Bmr003.dadb Bmr003.out Bmr003.trans Bmr005.dadb Bmr005.out Bmr005.trans Bmr006.dadb Bmr006.out Bmr006.trans Bmr007.dadb Bmr007.out Bmr007.trans Bmr008.dadb Bmr008.out Bmr008.trans Bmr009.dadb Bmr009.out Bmr009.trans Bmr010.dadb Bmr010.out Bmr010.trans Bmr011.dadb Bmr011.out Bmr011.trans Bmr012.dadb Bmr012.out Bmr012.trans Bmr013.dadb Bmr013.out Bmr013.trans Bmr014.dadb Bmr014.out Bmr014.trans Bmr015.dadb Bmr015.out Bmr015.trans Bmr016.dadb Bmr016.out Bmr016.trans Bmr018.dadb Bmr018.out Bmr018.trans Bmr019.dadb Bmr019.out Bmr019.trans Bmr020.dadb Bmr020.trans Bmr021.dadb Bmr021.trans Bmr022.dadb Bmr022.trans Bmr023.dadb Bmr023.trans Bmr024.dadb Bmr024.trans Bmr025.dadb Bmr025.trans Bmr026.dadb Bmr026.trans Bmr027.dadb Bmr027.trans Bmr028.dadb Bmr028.trans Bmr029.dadb Bmr029.trans Bmr030.dadb Bmr030.trans Bmr031.dadb Bmr031.trans Bns001.dadb Bns001.trans Bns002.dadb Bns002.trans Bns003.dadb Bns003.trans Bro003.dadb Bro003.trans Bro004.dadb Bro004.trans Bro005.dadb Bro005.trans Bro007.dadb Bro007.trans Bro008.dadb Bro008.trans Bro010.dadb Bro010.trans Bro011.dadb Bro011.trans Bro012.dadb Bro012.trans Bro013.dadb Bro013.trans Bro014.dadb Bro014.trans Bro015.dadb Bro015.trans Bro016.dadb Bro016.trans Bro017.dadb Bro017.trans Bro018.dadb Bro018.trans Bro019.dadb Bro019.trans Bro021.dadb Bro021.trans Bro022.dadb Bro022.trans Bro023.dadb Bro023.trans Bro024.dadb Bro024.trans Bro025.dadb Bro025.trans Bro026.dadb Bro026.trans Bro027.dadb Bro027.trans Bro028.dadb Bro028.trans Bsr001.dadb Bsr001.trans Btr001.dadb Btr001.trans Btr002.dadb Btr002.trans Buw001.dadb Buw001.trans scr.sh simultaneously ?,qy^rt,qy^rt
Bmr019-c3_3367540_3367900,oops .,oops .,s^fa,s^fa
Bmr019-c1_3367830_3370840,get our last bit of uh jose's - jose - jose's digit .,get our last bit of uh jose's - Bdb001.dadb Bdb001.out Bdb001.trans Bed002.dadb Bed002.out Bed002.trans Bed003.dadb Bed003.out Bed003.trans Bed004.dadb Bed004.out Bed004.trans Bed005.dadb Bed005.out Bed005.trans Bed006.dadb Bed006.out Bed006.trans Bed008.dadb Bed008.out Bed008.trans Bed009.dadb Bed009.out Bed009.trans Bed010.dadb Bed010.out Bed010.trans Bed011.dadb Bed011.out Bed011.trans Bed012.dadb Bed012.out Bed012.trans Bed013.dadb Bed013.out Bed013.trans Bed014.dadb Bed014.out Bed014.trans Bed015.dadb Bed015.out Bed015.trans Bed016.dadb Bed016.out Bed016.trans Bed017.dadb Bed017.out Bed017.trans Bmr001.dadb Bmr001.out Bmr001.trans Bmr002.dadb Bmr002.out Bmr002.trans Bmr003.dadb Bmr003.out Bmr003.trans Bmr005.dadb Bmr005.out Bmr005.trans Bmr006.dadb Bmr006.out Bmr006.trans Bmr007.dadb Bmr007.out Bmr007.trans Bmr008.dadb Bmr008.out Bmr008.trans Bmr009.dadb Bmr009.out Bmr009.trans Bmr010.dadb Bmr010.out Bmr010.trans Bmr011.dadb Bmr011.out Bmr011.trans Bmr012.dadb Bmr012.out Bmr012.trans Bmr013.dadb Bmr013.out Bmr013.trans Bmr014.dadb Bmr014.out Bmr014.trans Bmr015.dadb Bmr015.out Bmr015.trans Bmr016.dadb Bmr016.out Bmr016.trans Bmr018.dadb Bmr018.out Bmr018.trans Bmr019.dadb Bmr019.out Bmr019.trans Bmr020.dadb Bmr020.trans Bmr021.dadb Bmr021.trans Bmr022.dadb Bmr022.trans Bmr023.dadb Bmr023.trans Bmr024.dadb Bmr024.trans Bmr025.dadb Bmr025.trans Bmr026.dadb Bmr026.trans Bmr027.dadb Bmr027.trans Bmr028.dadb Bmr028.trans Bmr029.dadb Bmr029.trans Bmr030.dadb Bmr030.trans Bmr031.dadb Bmr031.trans Bns001.dadb Bns001.trans Bns002.dadb Bns002.trans Bns003.dadb Bns003.trans Bro003.dadb Bro003.trans Bro004.dadb Bro004.trans Bro005.dadb Bro005.trans Bro007.dadb Bro007.trans Bro008.dadb Bro008.trans Bro010.dadb Bro010.trans Bro011.dadb Bro011.trans Bro012.dadb Bro012.trans Bro013.dadb Bro013.trans Bro014.dadb Bro014.trans Bro015.dadb Bro015.trans Bro016.dadb Bro016.trans Bro017.dadb Bro017.trans Bro018.dadb Bro018.trans Bro019.dadb Bro019.trans Bro021.dadb Bro021.trans Bro022.dadb Bro022.trans Bro023.dadb Bro023.trans Bro024.dadb Bro024.trans Bro025.dadb Bro025.trans Bro026.dadb Bro026.trans Bro027.dadb Bro027.trans Bro028.dadb Bro028.trans Bsr001.dadb Bsr001.trans Btr001.dadb Btr001.trans Btr002.dadb Btr002.trans Buw001.dadb Buw001.trans scr.sh jose - jose's digit .,s,s
Bmr019-c4_3368810_3369260,or ?==,or ?==,qrr.%--,qrr.%--
Bmr019-ca_3369330_3369980,you - uh ==,you - eh ==,%--,%--
Bmr019-c1_3370840_3371340,uh i'm sorry ?,uh i'm sorry ?,qw^br,qw^br
Bmr019-ca_3371400_3379650,ye- - ye- - you prefer uh to eat uh chocolate uh at the coffee break uh at the - or you prefer now before after ?==,ye- - ye- - you prefer eh to eat eh chocolate eh at the coffee break eh at the - or you prefer now before after ?==,qrr.%--,qrr.%--
Bmr019-c2_3378650_3379630,well we have a time ==,well we have a time ==,s.%-,s.%-
Bmr019-c5_3378760_3380540,no | we prefer to keep it for ourselves .,no | we prefer to keep it for ourselves .,s^ar^j|s^df^j,s^ar^j|s^df^j
Bmr019-c3_3380820_3381120,during ==,during ==,s.%-,s.%-
Bmr019-c5_3381180_3382070,yeah yeah .,yeah yeah .,s^aa,s^aa
Bmr019-c2_3381580_3383610,well we have a s- - a time - time constraint .,well we have a s- - a time - time constraint .,s,s
Bmr019-c3_3382580_3383570,during digits .,during digits .,s^e,s^e
Bmr019-c1_3383150_3385330,so keep it away from that end of the table .,so keep it away from that end of the table .,s^co^j,s^co^j
Bmr019-c2_3383750_3383830,yeah .,yeah .,b,b
Bmr019-c5_3384710_3385070,yeah .,yeah .,s^bk,s^bk
Bmr019-ca_3385470_3385670,yeah .,yeah .,b.%,b.%
Bmr019-c2_3386060_3386340,yeah .,yeah .,b,b
Bmr019-c0_3386190_3388020,why is it that i can read your mind ?,why is it that i can read your mind ?,qh,qh
Bmr019-c4_3386490_3389050,well we've got to wait until after di- - after we take the mikes off .,well we've gotta wait until after di- - after we take the mikes off .,s,s
Bmr019-c3_3388140_3388570,no no .,no no .,s^ar,s^ar
Bmr019-c4_3390750_3392370,so are we going to do digits simultaneously ?,so are we gonna do digits simultaneously ?,qy^rt,qy^rt
Bmr019-c1_3391360_3391720,well ==,well ==,%-,%-
Bmr019-c0_3391680_3394660,you - this is our reward if we do our digi- ==,you - this is our reward if we do our digi- ==,s.%-,s.%-
Bmr019-c3_3392240_3392590,yeah .,yeah .,b,b
Bmr019-c4_3392370_3392830,or what ?,or what ?,qrr,qrr
Bmr019-c1_3392390_3392500,yeah .,yeah .,b,b
Bmr019-c2_3392480_3392670,okay .,o_k .,s^bk,s^bk
Bmr019-c3_3394180_3396470,simultaneous digit chocolate task .,simultaneous digit chocolate task .,s,s
Bmr019-ca_3394450_3399500,i - i think uh it's enough uh for more peopl- - for more people after .,i - i think eh it's enough eh for more peopl- - for more people after .,s,s
Bmr019-c1_3395480_3397620,we're going to - we're going to do digits at the same ==,we're gonna - we're gonna do digits at the same ==,s.%-,s.%-
Bmr019-c0_3395980_3396530,oh !,oh !,s^ba^fe,s^ba^fe
Bmr019-c5_3397930_3398620,huh .,mmm .,s^ba,s^ba
Bmr019-ca_3399500_3399900,but uh ==,but eh ==,%--,%--
Bmr019-c2_3399960_3400730,that's nice .,that's nice .,s^ba,s^ba
Bmr019-c5_3400250_3400700,uhhuh .,mm-hmm .,b,b
Bmr019-c1_3400560_3401030,um ==,um ==,fg,fg
Bmr019-c0_3400870_3401990,oh thanks jose .,oh thanks jose .,s^ft,s^ft
Bmr019-c2_3400970_3401750,wow .,wow .,s^ba,s^ba
Bmr019-ca_3401520_3405510,to andreas the idea is - is good s- - to eat here .,to andreas the idea is - is good s- - to eat here .,s,s
Bmr019-c1_3402100_3402460,well ==,well ==,%-,%-
Bmr019-c5_3402150_3402720,huh .,mmm .,b,b
Bmr019-c2_3403470_3404050,wow .,wow .,s^ba,s^ba
Bmr019-c5_3403740_3404200,oh .,oh .,s^bk,s^bk
Bmr019-c2_3404050_3404830,very nice .,very nice .,s^ba,s^ba
Bmr019-c1_3405130_3406520,tha- - that's - that looks great .,tha- - that's - that looks great .,s^ba,s^ba
Bmr019-c0_3405190_3405820,oh wow .,oh wow .,s^ba,s^ba
Bmr019-c5_3405880_3406160,oh yeah .,oh yeah .,s^bk,s^bk
Bmr019-c5_3406160_3408240,th- - it doesn't - it won't leave this room .,th- - it doesn't - it won't leave this room .,s^j,s^j
Bmr019-c1_3406860_3408610,all right | so in the interest of getting to the ==,alright | so in the interest of getting to the ==,fg|s^tc.%-,fg|s^tc.%-
Bmr019-c0_3408390_3410430,we could do digits while other people eat .,we could do digits while other people eat .,s^cs,s^cs
Bmr019-c3_3409590_3409870,yeah .,yeah .,b,b
Bmr019-c3_3410490_3410740,yeah .,yeah .,s^aa,s^aa
Bmr019-c0_3410850_3412160,so it's background crunching .,so it's background crunching .,s,s
Bmr019-ca_3410970_3411480,yeah .,yeah .,b,b
Bmr019-c5_3411730_3412200,huh .,mmm .,s^ba,s^ba
Bmr019-ca_3412470_3414440,is uh a - another acoustic event .,is eh a - another acoustic event .,s^ba,s^ba
Bmr019-c2_3412690_3412900,nice .,nice .,s^ba,s^ba
Bmr019-c0_3412800_3414150,we don't have background chewing .,we don't have background chewing .,s,s
Bmr019-c3_3413680_3414800,background crunch | yeah .,background crunch | yeah .,s^2^j|s^aa^j,s^2^j|s^aa^j
Bmr019-c0_3414690_3416790,no we don't have any data with background eating .,no we don't have any data with background eating .,s^e,s^e
Bmr019-c5_3414930_3415470,huh .,mmm .,b,b
Bmr019-c3_3417140_3417330,yeah .,yeah .,s^aa^j,s^aa^j
Bmr019-c0_3418360_3419120,i'm serious .,i'm serious .,s^df,s^df
Bmr019-c0_3419120_3419330,you- ==,you- ==,%-,%-
Bmr019-c1_3419310_3420390,she's - she's serious .,she's - she's serious .,s,s
Bmr019-c4_3419910_3423600,it's just the rest of the digits - the rest of the digits are very clean .,it's just the rest of the digits - the rest of the digits are very clean .,s^df,s^df
Bmr019-c0_3420160_3421010,i am serious .,i am serious .,s^na^r,s^na^r
Bmr019-c1_3421330_3422420,she is serious .,she is serious .,s^r,s^r
Bmr019-c5_3422190_3422550,huh .,mmm .,b,b
Bmr019-ca_3423830_3424050,are you ?==,are you ?==,qy.%-,qy.%-
Bmr019-ca_3424050_3424600,oh | they're clean .,oh | they're clean .,s^bk|s,s^bk|s
Bmr019-c0_3424290_3424740,well ==,well ==,%-,%-
Bmr019-c4_3424430_3426670,um without a lot of background noise .,um without a lot of background noise .,s^df^e,s^df^e
Bmr019-c3_3424710_3424840,yeah .,yeah .,b.%,b.%
Bmr019-c0_3425340_3425580,and it ==,and it ==,s.%-,s.%-
Bmr019-c4_3426670_3427830,so i'm just not sure .,so i'm just not sure .,s,s
Bmr019-c0_3426690_3430200,you have to write down like while y- - what you're - what ch- - chocolate you're eating .,you have to write down like while y- - what you're - what ch- - chocolate you're eating .,s^cs,s^cs
Bmr019-c0_3430200_3431930,because they might make different sounds .,cuz they might make different sounds .,s^df,s^df
Bmr019-c0_3431930_3436280,like n- - nuts - chocolate with nuts chocolate without nuts .,like n- - nuts - chocolate with nuts chocolate Bdb001.dadb Bdb001.out Bdb001.trans Bed002.dadb Bed002.out Bed002.trans Bed003.dadb Bed003.out Bed003.trans Bed004.dadb Bed004.out Bed004.trans Bed005.dadb Bed005.out Bed005.trans Bed006.dadb Bed006.out Bed006.trans Bed008.dadb Bed008.out Bed008.trans Bed009.dadb Bed009.out Bed009.trans Bed010.dadb Bed010.out Bed010.trans Bed011.dadb Bed011.out Bed011.trans Bed012.dadb Bed012.out Bed012.trans Bed013.dadb Bed013.out Bed013.trans Bed014.dadb Bed014.out Bed014.trans Bed015.dadb Bed015.out Bed015.trans Bed016.dadb Bed016.out Bed016.trans Bed017.dadb Bed017.out Bed017.trans Bmr001.dadb Bmr001.out Bmr001.trans Bmr002.dadb Bmr002.out Bmr002.trans Bmr003.dadb Bmr003.out Bmr003.trans Bmr005.dadb Bmr005.out Bmr005.trans Bmr006.dadb Bmr006.out Bmr006.trans Bmr007.dadb Bmr007.out Bmr007.trans Bmr008.dadb Bmr008.out Bmr008.trans Bmr009.dadb Bmr009.out Bmr009.trans Bmr010.dadb Bmr010.out Bmr010.trans Bmr011.dadb Bmr011.out Bmr011.trans Bmr012.dadb Bmr012.out Bmr012.trans Bmr013.dadb Bmr013.out Bmr013.trans Bmr014.dadb Bmr014.out Bmr014.trans Bmr015.dadb Bmr015.out Bmr015.trans Bmr016.dadb Bmr016.out Bmr016.trans Bmr018.dadb Bmr018.out Bmr018.trans Bmr019.dadb Bmr019.out Bmr019.trans Bmr020.dadb Bmr020.trans Bmr021.dadb Bmr021.trans Bmr022.dadb Bmr022.trans Bmr023.dadb Bmr023.trans Bmr024.dadb Bmr024.trans Bmr025.dadb Bmr025.trans Bmr026.dadb Bmr026.trans Bmr027.dadb Bmr027.trans Bmr028.dadb Bmr028.trans Bmr029.dadb Bmr029.trans Bmr030.dadb Bmr030.trans Bmr031.dadb Bmr031.trans Bns001.dadb Bns001.trans Bns002.dadb Bns002.trans Bns003.dadb Bns003.trans Bro003.dadb Bro003.trans Bro004.dadb Bro004.trans Bro005.dadb Bro005.trans Bro007.dadb Bro007.trans Bro008.dadb Bro008.trans Bro010.dadb Bro010.trans Bro011.dadb Bro011.trans Bro012.dadb Bro012.trans Bro013.dadb Bro013.trans Bro014.dadb Bro014.trans Bro015.dadb Bro015.trans Bro016.dadb Bro016.trans Bro017.dadb Bro017.trans Bro018.dadb Bro018.trans Bro019.dadb Bro019.trans Bro021.dadb Bro021.trans Bro022.dadb Bro022.trans Bro023.dadb Bro023.trans Bro024.dadb Bro024.trans Bro025.dadb Bro025.trans Bro026.dadb Bro026.trans Bro027.dadb Bro027.trans Bro028.dadb Bro028.trans Bsr001.dadb Bsr001.trans Btr001.dadb Btr001.trans Btr002.dadb Btr002.trans Buw001.dadb Buw001.trans scr.sh without nuts .,s^e:s,s^e:s
